table,period,surface,surface_label,amazon_family,accounts,new_signup_accounts,reactivated_accounts,base_accounts,share_of_base_pct,share_of_cohort_pct,new_share_pct,reactivated_share_pct,pre_180d_accounts,pre_180d_share_of_cohort_pct,lift_pp,additivity,note,window,unit,cohort_accounts,panel
first_touch,event,amazon_retail_then_prime,"amazon.com, then Prime",path,5641,2429,3212,22764,24.7804,24.7804,27.3598,23.1312,,,,partitions cohort,They were already in the store. The title sat on the rail after they paid.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_touch,event,prime_account_winback_or_search,Prime account win-back or Prime Video search,path,4129,187,3942,22764,18.1383,18.1383,2.1063,28.3883,,,,partitions cohort,Almost all reactivated. The account page or a Prime Video search brought them back.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_touch,event,social_then_prime,"Social, then Prime",path,3247,1486,1761,22764,14.2637,14.2637,16.7380,12.6818,,,,partitions cohort,Fall ritual and the leaving posts. Then a Prime signup or restore.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_touch,event,hulu_then_prime,"Hulu, then Prime",path,1397,493,904,22764,6.1369,6.1369,5.5531,6.5102,,,,partitions cohort,Hulu still has the original. They compared and paid for the Amazon bundle anyway.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_touch,event,other,Other,path,1164,96,1068,22764,5.1133,5.1133,1.0813,7.6912,,,,partitions cohort,"Email, Fire TV rail, or an Amazon app notification.",2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_next,post_30d,amazon.com_or_the_amazon_app,amazon.com or the Amazon app,path,8147,3486,4661,21661,37.6114,35.7890,39.2656,33.5662,,,,partitions second,"First Amazon-owned surface after the Gilmore Girls play, inside 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_next,post_30d,another_prime_video_title,Another Prime Video title,path,6413,2147,4266,21661,29.6062,28.1717,24.1834,30.7216,,,,partitions second,"First Amazon-owned surface after the Gilmore Girls play, inside 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_next,post_30d,kindle_or_amazon_books,Kindle or Amazon Books,path,2186,987,1199,21661,10.0919,9.6029,11.1174,8.6346,,,,partitions second,"First Amazon-owned surface after the Gilmore Girls play, inside 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_next,post_30d,amazon_music,Amazon Music,path,1847,713,1134,21661,8.5268,8.1137,8.0311,8.1665,,,,partitions second,"First Amazon-owned surface after the Gilmore Girls play, inside 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_next,post_30d,audible,Audible,path,987,413,574,21661,4.5566,4.3358,4.6519,4.1337,,,,partitions second,"First Amazon-owned surface after the Gilmore Girls play, inside 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_next,post_30d,fresh_or_whole_foods_digital,Fresh or Whole Foods digital,path,641,247,394,21661,2.9592,2.8158,2.7822,2.8374,,,,partitions second,"First Amazon-owned surface after the Gilmore Girls play, inside 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_next,post_30d,alexa_app,Alexa app,path,541,174,367,21661,2.4976,2.3766,1.9599,2.6429,,,,partitions second,"First Amazon-owned surface after the Gilmore Girls play, inside 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_next,post_30d,amazon_photos,Amazon Photos,path,413,89,324,21661,1.9067,1.8143,1.0025,2.3333,,,,partitions second,"First Amazon-owned surface after the Gilmore Girls play, inside 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
first_next,post_30d,other_amazon-owned,Other Amazon-owned,path,486,157,329,21661,2.2437,2.1349,1.7684,2.3693,,,,partitions second,"First Amazon-owned surface after the Gilmore Girls play, inside 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
time_to_second,post_30d,same_session,Same session,path,7193,3247,3946,21661,33.2071,31.5981,36.5736,28.4171,,,,partitions second,Days from first Gilmore Girls play to the first other Amazon-owned surface.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
time_to_second,post_30d,later_that_day,Later that day,path,4129,1541,2588,21661,19.0619,18.1383,17.3575,18.6375,,,,partitions second,Days from first Gilmore Girls play to the first other Amazon-owned surface.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
time_to_second,post_30d,2_to_7_days,2 to 7 days,path,6413,2186,4227,21661,29.6062,28.1717,24.6227,30.4407,,,,partitions second,Days from first Gilmore Girls play to the first other Amazon-owned surface.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
time_to_second,post_30d,8_to_30_days,8 to 30 days,path,3926,1439,2487,21661,18.1247,17.2465,16.2086,17.9101,,,,partitions second,Days from first Gilmore Girls play to the first other Amazon-owned surface.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
gg_depth,title_window,1_to_3_episodes,1 to 3 episodes,video,1937,1029,908,22764,8.5090,8.5090,11.5904,6.5390,,,,partitions cohort,"8 to 21 plus 22 or more is the 18,643 who completed a qualifying watch.",2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
gg_depth,title_window,4_to_7_episodes,4 to 7 episodes,video,2184,1179,1005,22764,9.5941,9.5941,13.2800,7.2375,,,,partitions cohort,"8 to 21 plus 22 or more is the 18,643 who completed a qualifying watch.",2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
gg_depth,title_window,8_to_21_episodes,8 to 21 episodes,video,4357,1853,2504,22764,19.1399,19.1399,20.8718,18.0326,,,,partitions cohort,"8 to 21 plus 22 or more is the 18,643 who completed a qualifying watch.",2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
gg_depth,title_window,22_or_more,22 or more,video,14286,4817,9469,22764,62.7570,62.7570,54.2577,68.1910,,,,partitions cohort,"8 to 21 plus 22 or more is the 18,643 who completed a qualifying watch.",2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
when_first_play,title_window,july_1_to_14,July 1 to 14,video,10847,4186,6661,22764,47.6498,47.6498,47.1503,47.9692,,,,partitions cohort,Person-relative first Gilmore Girls Prime Video play.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
when_first_play,title_window,july_15_to_31,July 15 to 31,video,4213,1638,2575,22764,18.5073,18.5073,18.4501,18.5439,,,,partitions cohort,Person-relative first Gilmore Girls Prime Video play.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
when_first_play,title_window,august_1_to_31,August 1 to 31,video,4147,1541,2606,22764,18.2174,18.2174,17.3575,18.7671,,,,partitions cohort,Person-relative first Gilmore Girls Prime Video play.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
when_first_play,title_window,september_1_to_17,September 1 to 17,video,3557,1513,2044,22764,15.6255,15.6255,17.0421,14.7199,,,,partitions cohort,Person-relative first Gilmore Girls Prime Video play.,2026-07-01 to 2026-09-17,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
checkout_what,post_30d,amazon_retail_order,Amazon retail order,union,9827,4186,5641,10828,90.7554,43.1690,47.1503,40.6236,,,,overlap. do not add,"Of the 10,828 who completed an Amazon-owned checkout in 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
checkout_what,post_30d,kindle_purchase_or_borrow,Kindle purchase or borrow,union,2234,987,1247,10828,20.6317,9.8137,11.1174,8.9803,,,,overlap. do not add,"Of the 10,828 who completed an Amazon-owned checkout in 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
checkout_what,post_30d,audible_title,Audible title,union,1354,641,713,10828,12.5046,5.9480,7.2201,5.1347,,,,overlap. do not add,"Of the 10,828 who completed an Amazon-owned checkout in 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
checkout_what,post_30d,fresh_or_whole_foods_digital_order,Fresh or Whole Foods digital order,union,1102,413,689,10828,10.1773,4.8410,4.6519,4.9618,,,,overlap. do not add,"Of the 10,828 who completed an Amazon-owned checkout in 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
checkout_what,post_30d,amazon_pharmacy,Amazon Pharmacy,union,256,89,167,10828,2.3642,1.1246,1.0025,1.2027,,,,overlap. do not add,"Of the 10,828 who completed an Amazon-owned checkout in 30 days.",30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
checkout_path,post_30d,gilmore_girls_then_amazon.com_that_week,"Gilmore Girls, then amazon.com that week",path,5186,2413,2773,10828,47.8943,22.7816,27.1795,19.9698,,,,partitions checkout,How the checkout sat next to the Gilmore Girls play.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
checkout_path,post_30d,gilmore_girls_then_another_title_then_,"Gilmore Girls, then another title, then amazon.com",path,2413,987,1426,10828,22.2848,10.6001,11.1174,10.2693,,,,partitions checkout,How the checkout sat next to the Gilmore Girls play.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
checkout_path,post_30d,gilmore_girls_then_a_book_or_audiobook,"Gilmore Girls, then a book or audiobook",path,1847,713,1134,10828,17.0576,8.1137,8.0311,8.1665,,,,partitions checkout,How the checkout sat next to the Gilmore Girls play.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
checkout_path,post_30d,gilmore_girls_then_a_grocery_digital_or,"Gilmore Girls, then a grocery digital order",path,987,409,578,10828,9.1153,4.3358,4.6069,4.1625,,,,partitions checkout,How the checkout sat next to the Gilmore Girls play.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
checkout_path,post_30d,more_than_one_of_those_checkouts,More than one of those checkouts,path,395,119,276,10828,3.6479,1.7352,1.3404,1.9876,,,,partitions checkout,How the checkout sat next to the Gilmore Girls play.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
last_touch,post_30d,amazon.com_product_page,amazon.com product page,path,5641,2429,3212,10828,52.0964,24.7804,27.3598,23.1312,,,,partitions checkout,Last Amazon-owned surface before the checkout.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
last_touch,post_30d,kindle,Kindle,path,1861,713,1148,10828,17.1869,8.1752,8.0311,8.2673,,,,partitions checkout,Last Amazon-owned surface before the checkout.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
last_touch,post_30d,another_prime_video_title,Another Prime Video title,path,1397,491,906,10828,12.9017,6.1369,5.5305,6.5246,,,,partitions checkout,Last Amazon-owned surface before the checkout.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
last_touch,post_30d,audible,Audible,path,713,241,472,10828,6.5848,3.1321,2.7146,3.3991,,,,partitions checkout,Last Amazon-owned surface before the checkout.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
last_touch,post_30d,fresh_or_whole_foods_digital,Fresh or Whole Foods digital,path,541,174,367,10828,4.9963,2.3766,1.9599,2.6429,,,,partitions checkout,Last Amazon-owned surface before the checkout.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
last_touch,post_30d,other_amazon-owned,Other Amazon-owned,path,675,593,82,10828,6.2338,2.9652,6.6794,0.5905,,,,partitions checkout,Last Amazon-owned surface before the checkout.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
assist,post_30d,a_coffee_or_fall_search,A coffee or fall search,path,4186,1847,2339,10828,38.6590,18.3887,20.8042,16.8443,,,,overlap. do not add,Digital assist on the same ID. Not a last click.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
assist,post_30d,a_gilmore-adjacent_book,A Gilmore-adjacent book,path,2147,991,1156,10828,19.8282,9.4316,11.1624,8.3249,,,,overlap. do not add,Digital assist on the same ID. Not a last click.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
assist,post_30d,stars_hollow_or_luke's_merch,Stars Hollow or Luke's merch,path,1186,413,773,10828,10.9531,5.2100,4.6519,5.5668,,,,overlap. do not add,Digital assist on the same ID. Not a last click.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
assist,post_30d,a_year_in_the_life_on_netflix,A Year in the Life on Netflix,path,641,247,394,10828,5.9198,2.8158,2.7822,2.8374,,,,overlap. do not add,Digital assist on the same ID. Not a last click.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
leak,post_30d,hulu_more_original,More Gilmore Girls on Hulu after the Prime Video start,leak,1381,629,752,22764,6.0666,6.0666,7.0849,5.4155,,,,overlap. not in nest,They just paid for Prime. The Hulu leak is thinner than the 15.6% on the larger lapsed-or-new file.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
leak,post_30d,netflix_year_in_the_life,A Year in the Life on Netflix after the Prime Video start,leak,2413,1029,1384,22764,10.6001,10.6001,11.5904,9.9669,,,,overlap. not in nest,The revival stays on Netflix. The original is what they paid Prime to get.,30 days after first Gilmore Girls Prime Video play,unique US accounts,22764,Crosswalk clickstream panel of 10M US consumers
