Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views
He's Just Not That Into You,No,,6400000,2:09,3000000
Lady Chatterley's Lover,Yes,2022-12-02,6300000,2:08,3000000
Hold the Dark,Yes,2018-09-28,6200000,2:06,3000000
How Do You Know,No,,6000000,2:01,3000000
Hit Man,No,2024-06-07,5800000,1:56,3000000
Labor Day (2013),No,,5600000,1:52,3000000
Pacific Rim: Uprising,No,,5600000,1:51,3000000
Beckett,Yes,2021-08-13,5500000,1:50,3000000
Insidious: The Red Door,No,,5400000,1:47,3000000
Happiness for Beginners,Yes,2023-07-27,5300000,1:46,3000000
Non-Stop (2014),No,,5300000,1:47,3000000
Pesugihan Sate Gagak,No,,5300000,1:45,3000000
Blacklight (2022),No,,5200000,1:45,3000000
Siberia (2018),No,,5200000,1:44,3000000
The Best You Can,No,,5100000,1:43,3000000
Sniper: Ghost Shooter,No,,5000000,1:39,3000000
Burning Betrayal // O Lado Bom de Ser Traída,Yes,2023-10-25,4900000,1:39,3000000
Chupa,Yes,2023-04-07,4900000,1:39,3000000
Honest Thief,No,,4900000,1:38,3000000
Extinction,Yes,2018-07-27,4800000,1:35,3000000
Risa and the Wind Phone // Risa y la cabina del viento,No,2026-06-03,4800000,1:37,3000000
30 Days of Night: Dark Days,No,,4700000,1:33,3000000
Joy Ride (2023),No,,4700000,1:35,3000000
The Hustle (2019),No,,4700000,1:34,3000000
Acts of Violence (2018),No,,4400000,1:27,3000000
What Jennifer Did,Yes,2024-04-10,4400000,1:27,3000000
Rabbids Invasion Special: Mission to Mars,No,2022-02-18,3500000,1:11,3000000
Inside Furioza // Druga Furioza,Yes,2025-10-15,8100000,2:47,2900000
Saving Private Ryan,No,,8100000,2:50,2900000
El infierno,No,,7200000,2:29,2900000
Saiyaara // सैयारा,No,,7200000,2:30,2900000
Fast X,No,,6700000,2:21,2900000
The Matrix,No,,6500000,2:16,2900000
Song Sung Blue (2025),No,,6400000,2:12,2900000
We Have a Ghost,Yes,2023-02-24,6100000,2:07,2900000
A Fall from Grace,Yes,2020-01-17,5900000,2:01,2900000
The Takedown // Loin du périph,Yes,2022-05-06,5900000,2:01,2900000
Sosok Ketiga: Lintrik,No,,5800000,1:59,2900000
Rocky (1976),No,,5700000,2:00,2900000
Strangers in the Park // Parque Lezama,Yes,2026-03-06,5700000,1:56,2900000
Train to Busan // 부산행,No,,5700000,1:58,2900000
Remember Me (2010),No,,5500000,1:52,2900000
Thalaivar Thambi Thalaimaiyil,No,,5500000,1:53,2900000
The Age of Adaline,No,,5500000,1:53,2900000
Through My Window 2: Across the Sea // A través de mi ventana 2: A través del mar,Yes,2023-06-23,5500000,1:52,2900000
Peter Pan (2003),No,,5400000,1:53,2900000
The Gentlemen (2020),No,,5400000,1:53,2900000
Un ours dans le Jura,No,,5400000,1:53,2900000
She Walks in Darkness // Un fantasma en la batalla,Yes,2025-10-17,5300000,1:49,2900000
Bob Marley: One Love,No,,5200000,1:47,2900000
Wind River (2017),No,,5200000,1:47,2900000
On Your Lap // Pangku,Yes,,5100000,1:44,2900000
Players,Yes,2024-02-14,5100000,1:45,2900000
Uglies,Yes,2024-09-13,4900000,1:42,2900000
Exit Wounds,No,,4800000,1:41,2900000
That's Amor,Yes,2022-08-25,4700000,1:36,2900000
Monster High 2,No,,4600000,1:34,2900000
Rebuilding,No,,4600000,1:36,2900000
Village of the Dead // Dusun Mayit,No,,4600000,1:35,2900000
Diary of a Wimpy Kid: Dog Days,No,,4500000,1:34,2900000
Sniper: Ultimate Kill,No,,4500000,1:33,2900000
Fatal Affair,Yes,2020-07-16,4300000,1:30,2900000
Barbie Princess Adventure,Yes,,3500000,1:12,2900000
Sesame Street: The Nutcracker,Yes,,1300000,0:27,2900000
The Lord of the Rings: The Return of the King,No,,9300000,3:21,2800000
Biker,Yes,,7300000,2:39,2800000
Transformers: Dark of the Moon,No,,7200000,2:35,2800000
Spider-Man: No Way Home,No,,6900000,2:28,2800000
Hunger // คนหิว เกมกระหาย,Yes,2023-04-08,6800000,2:26,2800000
The Amazing Spider-Man 2,No,,6600000,2:22,2800000
The Girlfriend (2025),Yes,,6400000,2:18,2800000
The Woman King,No,,6300000,2:15,2800000
Erin Brockovich,No,,6200000,2:11,2800000
The Iron Claw,No,,6100000,2:12,2800000
The Man in the Iron Mask (1998),No,,6100000,2:12,2800000
Gridiron Gang,No,,5900000,2:05,2800000
Fallen (1998),No,,5800000,2:04,2800000
20th Century Girl // 20세기 소녀,Yes,2022-10-21,5700000,2:01,2800000
Chappie,No,,5700000,2:01,2800000
Sore: A Wife From the Future // Sore: Istri dari Masa Depan,No,,5600000,1:59,2800000
Love in the Villa,Yes,2022-09-01,5400000,1:56,2800000
The Christmas Chronicles: Part Two,Yes,2020-11-25,5400000,1:55,2800000
The Rite (2011),No,,5400000,1:54,2800000
Love & Other Drugs,No,,5300000,1:53,2800000
21 Jump Street (2012),No,,5200000,1:50,2800000
Dumplin',No,2018-12-07,5100000,1:50,2800000
Sous écrous,No,,5100000,1:51,2800000
The Ice Road,No,2021-06-25,5100000,1:49,2800000
The Starling,Yes,2021-09-24,4900000,1:44,2800000
Through My Window 3: Looking at You // A través de mi ventana 3: A través de tu mirada,Yes,2024-02-23,4900000,1:45,2800000
Drillbit Taylor,No,,4800000,1:42,2800000
Mosul // الموصل,No,2020-11-26,4800000,1:43,2800000
Rocky Balboa,No,,4800000,1:42,2800000
Lesson Plan // Plan lekcji,Yes,2022-11-23,4600000,1:40,2800000
Dog Gone,Yes,2023-01-13,4500000,1:36,2800000
Don’t Listen,Yes,2020-11-27,4500000,1:38,2800000
Mother's Day // Dzień Matki,Yes,2023-05-24,4500000,1:35,2800000
Challenger (2024),No,,4400000,1:35,2800000
License to Wed,No,,4200000,1:31,2800000
Under the Boardwalk (2022),No,,4000000,1:27,2800000
Stuart Little,No,,3900000,1:25,2800000
Inside the Mind of a Cat,Yes,2022-08-18,3200000,1:08,2800000
They Call Him OG,No,,6700000,2:31,2700000
Sampradayani Suppini Sudhapoosani // Sampradayini Suppini Suddapoosani,Yes,,6500000,2:24,2700000
29,Yes,,6200000,2:19,2700000
Shutter Island,No,,6200000,2:19,2700000
The Holiday (2006),No,,6200000,2:16,2700000
The Ballad of Buster Scruggs,Yes,2018-11-16,5900000,2:13,2700000
Pain Hustlers,Yes,2023-10-27,5600000,2:05,2700000
Charlie and the Chocolate Factory,No,,5200000,1:55,2700000
Jack the Giant Slayer,No,,5200000,1:54,2700000
Justice // Napad,Yes,2024-10-16,5200000,1:55,2700000
Triple 9,No,,5200000,1:55,2700000
Last Holiday (2006),No,,5100000,1:52,2700000
Mamma Mia! Here We Go Again,No,,5100000,1:54,2700000
"Lyle, Lyle, Crocodile",No,,4900000,1:47,2700000
Cheaper by the Dozen (2022),No,,4800000,1:48,2700000
Hidden Enemy // Musuh Dalam Selimut,No,,4800000,1:48,2700000
300: Rise of an Empire,No,,4700000,1:43,2700000
Insidious: The Last Key,No,,4700000,1:43,2700000
My Best Friend's Wedding (1997),No,,4700000,1:45,2700000
Next Gen,Yes,2018-09-07,4700000,1:46,2700000
Old Dads,Yes,2023-10-20,4700000,1:44,2700000
The Abyss // Avgrunden,No,2024-02-16,4700000,1:43,2700000
The Children's Train // Il treno dei bambini,Yes,2024-12-04,4700000,1:46,2700000
Grown Ups 2,No,,4500000,1:41,2700000
Almost Cops // Bad Boa's,Yes,2025-07-11,4400000,1:37,2700000
Naked,Yes,2017-08-11,4400000,1:37,2700000
Viking Wolf // Vikingulven,Yes,2023-02-03,4400000,1:37,2700000
Ace Ventura: When Nature Calls,No,,4300000,1:34,2700000
"Legally Blonde 2: Red, White & Blonde",No,,4200000,1:35,2700000
Lost Girls,Yes,2020-03-13,4200000,1:35,2700000
Bad Teacher (2011),No,,4100000,1:32,2700000
My Secret Santa,Yes,2025-12-03,4100000,1:32,2700000
Rocky IV,No,,4100000,1:31,2700000
Goosebumps 2: Haunted Halloween,No,,4000000,1:30,2700000
Shutter (2025),Yes,,4000000,1:29,2700000
The Twister: Caught in the Storm,Yes,2025-03-19,4000000,1:29,2700000
The Babysitter,Yes,2017-10-13,3900000,1:26,2700000
The Takeover,Yes,2022-11-01,3900000,1:28,2700000
Earth and Blood // La terre et le sang,Yes,2020-04-17,3700000,1:21,2700000
Larva Pendant,Yes,2022-05-25,1500000,0:33,2700000
The Green Mile,No,,8100000,3:09,2600000
Cast Away (2000),No,,6200000,2:24,2600000
Raid 2 // रेड 2,Yes,,5900000,2:17,2600000
Sunny Sanskari ki Tulsi Kumari // सनी संस्कारी की तुलसी कुमारी,Yes,,5900000,2:14,2600000
Carter // 카터,Yes,2022-08-05,5800000,2:14,2600000
Mahavatar Narsimha,No,,5700000,2:11,2600000
The Karate Kid (1984),No,,5500000,2:07,2600000
Downton Abbey: The Grand Finale,No,,5300000,2:04,2600000
A Million Ways to Die in the West,No,,5100000,1:56,2600000
The Girl Who Got Away,No,,5000000,1:56,2600000
Bumblebee,No,,4900000,1:55,2600000
Halloween Ends,No,,4900000,1:51,2600000
Sand Castle,Yes,2017-04-21,4900000,1:53,2600000
27 Nights // 27 noches,Yes,2025-10-17,4800000,1:49,2600000
Dum Laga Ke Haisha // दम लगा के हईशा,Yes,,4800000,1:50,2600000
The Italian Job (2003),No,,4800000,1:51,2600000
Titan: The OceanGate Submersible Disaster,Yes,2025-06-11,4800000,1:52,2600000
Hubie Halloween,Yes,2020-10-07,4500000,1:44,2600000
Daddy’s in Trouble // Um Pai em Apuros,No,,4400000,1:42,2600000
The Cloverfield Paradox,Yes,2018-02-04,4400000,1:42,2600000
Code 8 Part II,Yes,2024-02-28,4300000,1:40,2600000
The Miracle Season,No,,4300000,1:41,2600000
A Tourist's Guide to Love,Yes,2023-04-21,4200000,1:36,2600000
There's Someone Inside Your House,Yes,2021-10-06,4200000,1:36,2600000
Ziam // ปากกัด ตีนถีบ,Yes,2025-07-09,4200000,1:37,2600000
The 15:17 to Paris,No,,4100000,1:34,2600000
The Platform // El hoyo,No,2020-03-20,4100000,1:34,2600000
Riverdance: The Animated Adventure,No,2022-01-14,4000000,1:34,2600000
Becoming,Yes,2020-05-06,3900000,1:30,2600000
Don't Breathe (2016),No,,3900000,1:29,2600000
A Second Chance:  Rivals!,Yes,2021-07-23,3800000,1:29,2600000
Deep Fear (2023),No,,3700000,1:25,2600000
Border Hunters,No,,3600000,1:22,2600000
La Leyenda de la Llorona,No,,3300000,1:15,2600000
Open Season 2,No,,3300000,1:16,2600000
Revolver Rita,No,,5900000,2:19,2500000
The Devil All The Time,Yes,2020-09-16,5900000,2:19,2500000
Dude (2025),No,,5700000,2:17,2500000
Shazam! (2019),No,,5400000,2:12,2500000
Under Ninja // アンダーニンジャ,No,,5200000,2:03,2500000
The Client (1994),No,,5000000,2:01,2500000
There's Something About Mary,No,,5000000,1:59,2500000
Jewel Thief - The Heist Begins // ज्वेल थीफ़ - The Heist Begins,Yes,2025-04-25,4900000,1:58,2500000
The Heartbreak Kid (2007),No,,4800000,1:56,2500000
Fear Street Part 2: 1978,Yes,2021-07-09,4700000,1:51,2500000
Comic 8 Revolution: Santet K4bin3t,Yes,,4600000,1:50,2500000
Miss Congeniality,No,,4600000,1:50,2500000
Sabotage (2014),No,,4600000,1:49,2500000
Xtreme // Xtremo,Yes,2021-06-04,4600000,1:52,2500000
In Good Hands // Sen Yaşamaya Bak,Yes,2022-03-21,4500000,1:46,2500000
Jangan Panggil Mama Kafir,No,,4500000,1:50,2500000
Thunder Force,Yes,2021-04-09,4500000,1:47,2500000
Big (1988),No,,4400000,1:44,2500000
Bridal Team 2 // Gelin Takımı 2,No,,4400000,1:46,2500000
Sydney White,No,,4400000,1:47,2500000
The Christmas Chronicles,Yes,2018-11-22,4400000,1:45,2500000
Kiki’s Delivery Service // 魔女の宅急便,No,,4300000,1:44,2500000
A Beautiful Life,Yes,2023-06-01,4200000,1:40,2500000
Eye for an Eye (1996),No,,4200000,1:42,2500000
The Babysitter: Killer Queen,Yes,2020-09-10,4200000,1:42,2500000
The Platform 2 // El hoyo 2,Yes,2024-10-04,4200000,1:41,2500000
Warriors of Future // 明日戰記 // 明日战记,Yes,2022-12-02,4200000,1:40,2500000
Dangerous Lies,Yes,2020-04-30,4100000,1:37,2500000
Hard Rain,No,,4000000,1:37,2500000
Firedrake the Silver Dragon,No,2021-09-10,3900000,1:33,2500000
Hancock (2008),No,,3900000,1:33,2500000
Journey to the Center of the Earth (2008),No,,3900000,1:33,2500000
Lost Bullet // Balle perdue,Yes,2020-06-19,3900000,1:34,2500000
Reunion (2024),No,,3900000,1:35,2500000
Along Came Polly,No,,3800000,1:30,2500000
Spiral: From the Book of Saw,No,,3800000,1:33,2500000
Strays (2023),No,,3800000,1:33,2500000
The Curse of Bridge Hollow,Yes,2022-10-14,3800000,1:32,2500000
Benji,Yes,2018-03-16,3600000,1:27,2500000
The Casagrandes Movie,Yes,2024-03-22,3600000,1:25,2500000
The Soccer Football Movie,Yes,2022-11-09,3000000,1:13,2500000
Dr. Seuss's The Sneetches,Yes,2025-11-03,2400000,0:57,2500000
Pushpa 2: The Rule (Reloaded Version),No,,8800000,3:44,2400000
Rebel Moon — Part One: Director’s Cut,Yes,2024-08-02,8200000,3:24,2400000
The Godfather (1972),No,,7200000,2:58,2400000
Rebel Moon — Part Two: Director’s Cut,Yes,2024-08-02,7000000,2:53,2400000
The Last Days of American Crime,Yes,2020-06-05,6000000,2:29,2400000
Godzilla: King of the Monsters,No,,5300000,2:12,2400000
10DANCE,Yes,2025-12-18,5100000,2:08,2400000
Blue Beetle,No,,5000000,2:07,2400000
Baramulla // बारामूला,Yes,2025-11-07,4900000,2:01,2400000
Where the Crawdads Sing,No,,4900000,2:05,2400000
Mea Culpa,Yes,2024-02-23,4800000,2:00,2400000
Hillbilly Elegy,Yes,2020-11-24,4700000,1:57,2400000
Mr. Malcolm's List,No,,4700000,1:58,2400000
Rocky II,No,,4700000,1:59,2400000
Uncharted (2022),No,,4700000,1:56,2400000
Dark Shadows (2012),No,,4600000,1:53,2400000
The Week Of,Yes,2018-04-27,4600000,1:57,2400000
Born a Champion,No,,4500000,1:52,2400000
The American President (1995),No,,4500000,1:53,2400000
The Choice (2016),No,,4500000,1:51,2400000
Bird Box Barcelona,Yes,2023-07-14,4400000,1:52,2400000
Everyone Knows Every Juan,No,,4400000,1:50,2400000
Attack 13 // วิญญาณเลขที่ 13,Yes,,4300000,1:46,2400000
Because of Winn-Dixie,No,,4300000,1:46,2400000
Shall We Dance? (2004),No,,4300000,1:46,2400000
Fast & Furious,No,,4200000,1:47,2400000
Oi Vita Mia,No,,4200000,1:47,2400000
The Witches (2020),No,,4200000,1:44,2400000
Aquamarine,No,,4100000,1:44,2400000
Bring Her Back,No,,4100000,1:44,2400000
No Reservations,No,,4100000,1:44,2400000
The Sleepover,Yes,2020-08-21,4100000,1:44,2400000
GTMAX,Yes,2024-11-20,4000000,1:40,2400000
Resort to Love,Yes,2021-07-29,4000000,1:42,2400000
The Woman in the Window,Yes,2021-05-14,4000000,1:42,2400000
LBJ,No,,3900000,1:37,2400000
Little Chicken's Egg-cellent Adventure // Un gallo con muchos huevos,No,,3900000,1:37,2400000
STAND BY ME Doraemon // STAND BY ME ドラえもん,Yes,,3900000,1:36,2400000
Street Flow 2 // Banlieusards 2,Yes,2023-09-27,3900000,1:38,2400000
The Dreamseller // O Vendedor de Sonhos,No,,3900000,1:36,2400000
Wedding Season,Yes,2022-08-04,3900000,1:39,2400000
Cloudy with a Chance of Meatballs 2,No,,3800000,1:35,2400000
The Lost Children // Los niños perdidos,Yes,2024-11-14,3800000,1:37,2400000
Janur Ireng,No,,3700000,1:34,2400000
Hypnotic,Yes,2021-10-27,3600000,1:30,2400000
Into the Storm (2014),No,,3600000,1:29,2400000
Jackass 4.5,Yes,,3600000,1:31,2400000
"Ruby Gillman, Teenage Kraken",No,,3600000,1:31,2400000
Breaking In (2018),No,,3500000,1:28,2400000
Gnome Alone,No,2018-10-19,3500000,1:26,2400000
Horton Hears a Who! (2008),No,,3500000,1:26,2400000
"Yours, Mine and Ours (2005)",No,,3500000,1:28,2400000
Run to the West // 중간계,No,,2400000,1:00,2400000
Ivy + Bean,Yes,2022-09-02,2300000,0:57,2400000
Interstellar,No,,6400000,2:49,2300000
RaPo 22 // Andhra King Thaluka,Yes,,6200000,2:43,2300000
Forrest Gump,No,,5600000,2:23,2300000
Kill Bill: Vol. 2,No,,5300000,2:17,2300000
American Sniper,No,,5100000,2:13,2300000
The Bourne Legacy,No,,5100000,2:15,2300000
Magik Rompak,Yes,,5000000,2:13,2300000
Primal Fear,No,,5000000,2:11,2300000
"Uprising // 전,란",Yes,2024-10-11,5000000,2:08,2300000
The World Is Not Enough,No,,4900000,2:08,2300000
The Covenant (2023),No,,4800000,2:03,2300000
Meet the Fockers,No,,4400000,1:56,2300000
Teenage Mutant Ninja Turtles 2,No,,4400000,1:53,2300000
Us (2019),No,,4400000,1:57,2300000
Agen +62,No,,4300000,1:54,2300000
G.I. Joe: Retaliation,No,,4300000,1:51,2300000
Incantation // 咒,Yes,2022-07-08,4300000,1:51,2300000
Pineapple Express,No,,4300000,1:52,2300000
The Bounty Hunter (2010),No,,4300000,1:51,2300000
Night Teeth,Yes,2021-10-20,4200000,1:49,2300000
School Life // La vie scolaire,No,2020-04-10,4200000,1:51,2300000
The Perfect Family // La familia perfecta,No,2022-05-11,4200000,1:50,2300000
Faraway,Yes,2023-03-08,4100000,1:49,2300000
The Bourne Supremacy,No,,4100000,1:49,2300000
The Quick and the Dead (1995),No,,4100000,1:45,2300000
Black Blood // Getih Ireng,No,,4000000,1:46,2300000
Clash of the Titans (2010),No,,4000000,1:46,2300000
The Expendables 2,No,,4000000,1:43,2300000
The Perks of Being a Wallflower,No,,4000000,1:43,2300000
Vanished // Pencarian Terakhir,No,,4000000,1:43,2300000
Ghosts of Girlfriends Past,No,,3900000,1:41,2300000
Salt (2010),No,,3900000,1:40,2300000
The Family Stone,No,,3900000,1:43,2300000
The Main Event,Yes,2020-04-10,3900000,1:43,2300000
The Perfect Find,Yes,2023-06-23,3900000,1:40,2300000
The Princess Switch,Yes,2018-11-16,3900000,1:42,2300000
Airplane Mode // Modo Avião,Yes,2020-01-22,3700000,1:37,2300000
Ava,No,2020-11-30,3700000,1:37,2300000
Harry Styles. One Night In Manchester.,No,2026-03-08,3700000,1:38,2300000
Honeymoon Crasher // Lune de miel avec ma mère,Yes,2025-02-12,3700000,1:35,2300000
Retirement Home // Maison de retraite,No,,3700000,1:37,2300000
Yara,Yes,2021-11-05,3700000,1:37,2300000
Road Trip (2000),No,,3600000,1:35,2300000
Countdown,No,2020-05-14,3500000,1:31,2300000
Smurfs: The Lost Village,No,,3500000,1:30,2300000
The Road to El Dorado,No,,3500000,1:30,2300000
Fear Street: Prom Queen,Yes,2025-05-23,3400000,1:30,2300000
War 2 // वॉर 2,No,,6400000,2:53,2200000
The Dark Knight Rises,No,,6100000,2:44,2200000
Champion (2025),Yes,,6000000,2:47,2200000
Wicked (2024),No,,6000000,2:40,2200000
Jaat // जाट,Yes,,5500000,2:30,2200000
A Star Is Born (2018),No,,5100000,2:16,2200000
Ambulance (2022),No,,5000000,2:16,2200000
Anora,No,,5000000,2:19,2200000
Eden (2025),No,,4700000,2:09,2200000
Fried Green Tomatoes,No,,4700000,2:10,2200000
Transformers: Rise of the Beasts,No,,4700000,2:07,2200000
Banduan,No,,4600000,2:07,2200000
21 (2008),No,,4500000,2:03,2200000
All Day and a Night,Yes,2020-05-01,4500000,2:02,2200000
Crazy Rich Asians,No,,4500000,2:01,2200000
Instructions Not Included // No se aceptan devoluciones,No,,4400000,2:02,2200000
Paradise,Yes,2023-07-27,4400000,1:59,2200000
Revolutionary Road,No,,4400000,2:00,2200000
The Silence of the Lambs,No,,4400000,1:59,2200000
Tomb Raider,No,,4400000,1:58,2200000
300,No,,4300000,1:57,2200000
Rob Peace,No,,4300000,2:00,2200000
Ice Road: Vengeance,No,,4200000,1:53,2200000
Shaft,No,2019-06-28,4200000,1:52,2200000
22 Jump Street,No,,4100000,1:52,2200000
Kuncen,No,,4000000,1:48,2200000
Tyler Perry's The Family That Preys,No,,4000000,1:50,2200000
Desperado,No,,3900000,1:45,2200000
Sukma,No,,3900000,1:47,2200000
The Chalk Line // Jaula,No,2022-10-24,3900000,1:46,2200000
The LEGO Movie 2: The Second Part,No,,3900000,1:47,2200000
The Woman in the Line // La mujer de la fila,No,2025-10-31,3900000,1:47,2200000
This Is the End (2013),No,,3900000,1:47,2200000
D.I.S.C.O. (2026),No,,3800000,1:42,2200000
The Courier // El correo,No,,3800000,1:42,2200000
Blood & Gold,Yes,2023-05-26,3700000,1:39,2200000
Death Note,Yes,2017-08-25,3700000,1:40,2200000
Father of the Bride (1991),No,,3700000,1:41,2200000
Keadilan (The Verdict),No,,3700000,1:40,2200000
The Truman Show,No,,3700000,1:43,2200000
The Wedding Ringer,No,,3700000,1:42,2200000
XXX: State of the Union,No,,3700000,1:41,2200000
A Dog's Way Home,No,,3500000,1:36,2200000
Infiesto,Yes,2023-02-03,3500000,1:37,2200000
Woman of the Hour,No,2024-10-18,3500000,1:36,2200000
Maryam: The Untold Story // Maryam: Janji dan Jiwa yang Terikat,No,,3400000,1:32,2200000
Mr. Popper's Penguins,No,,3400000,1:34,2200000
Time Cut,Yes,2024-10-30,3400000,1:32,2200000
"Lover, Stalker, Killer",Yes,2024-02-09,3300000,1:31,2200000
The Heart Knows // Corazón Delator,No,2025-05-30,3300000,1:29,2200000
The Last Beergin,Yes,,3300000,1:32,2200000
Scary Movie 3,No,,3100000,1:24,2200000
The Wedding Date,No,,3100000,1:25,2200000
"Carrossel, O Filme",No,,3000000,1:23,2200000
Rugrats in Paris: The Movie,No,,2900000,1:19,2200000
Trainwreck: Poop Cruise,Yes,2025-06-24,2000000,0:55,2200000
Furry Friends Forever: Elmo Gets a Puppy,Yes,,1000000,0:27,2200000
Lola the Cow’s Adventures at the Farm // Las aventuras de la vaca Lola en la granja,No,,800000,0:22,2200000
Padmaavat // पद्मावत,Yes,,5700000,2:42,2100000
Troy (2004),No,,5700000,2:43,2100000
HIT: The Third Case,No,,5400000,2:35,2100000
Kill Boksoon // 길복순,Yes,2023-03-31,4900000,2:19,2100000
Apollo 13,No,,4800000,2:20,2100000
Redeeming Love,No,,4800000,2:14,2100000
The Swimmers,Yes,2022-11-23,4800000,2:16,2100000
The Best of Enemies (2019),No,,4700000,2:14,2100000
The Pale Blue Eye,Yes,2023-01-06,4600000,2:10,2100000
Good Will Hunting,No,,4500000,2:07,2100000
Bandit,No,,4400000,2:06,2100000
Funky,Yes,,4400000,2:05,2100000
Harriet,No,,4400000,2:06,2100000
Operation Finale,Yes,2018-10-03,4400000,2:04,2100000
The Sleeper // Uykucu,No,,4400000,2:03,2100000
Jason Bourne,No,,4300000,2:03,2100000
Rebecca,Yes,2020-10-21,4300000,2:03,2100000
BlackBerry (2023),No,,4200000,2:00,2100000
No Country for Old Men,No,,4200000,2:02,2100000
Scream (2022),No,,4100000,1:55,2100000
The Bourne Identity (2002),No,,4100000,1:58,2100000
Black Clover: Sword of the Wizard King // ブラッククローバー 魔法帝の剣,Yes,2023-06-16,4000000,1:53,2100000
Fool's Gold (2008),No,,4000000,1:52,2100000
Godzilla vs. Kong,No,,4000000,1:53,2100000
Midnight Special,No,,4000000,1:52,2100000
Number 24 // Nr. 24,No,2025-01-01,4000000,1:52,2100000
Afterlife of the Party,Yes,2021-09-02,3900000,1:50,2100000
His Dark Materials: The Golden Compass,No,,3900000,1:53,2100000
Skylines (2020),No,,3900000,1:54,2100000
"Are You There God? It's Me, Margaret",No,,3800000,1:47,2100000
Organ Child // 器子,Yes,,3800000,1:49,2100000
Project Y // 프로젝트 Y,No,,3800000,1:48,2100000
Spiderhead,Yes,2022-06-17,3800000,1:47,2100000
True Spirit,Yes,2023-02-03,3800000,1:50,2100000
After,No,2019-07-12,3700000,1:46,2100000
Heatwave (2022),No,,3700000,1:45,2100000
Make Me Believe // Sen İnandır,Yes,2023-06-23,3700000,1:44,2100000
Trollhunters: Rise of the Titans,Yes,2021-07-21,3700000,1:46,2100000
Doubt (2008),No,,3600000,1:44,2100000
In the Tall Grass,Yes,2019-10-04,3600000,1:42,2100000
Jumbo (2025),No,,3600000,1:42,2100000
Otherhood,Yes,2019-08-02,3600000,1:41,2100000
Torrente for President // Torrente Presidente,No,,3600000,1:43,2100000
Dog (2022),No,,3500000,1:41,2100000
Hell or High Water,No,2016-11-18,3500000,1:42,2100000
Klaus,Yes,2019-11-15,3500000,1:38,2100000
Lost Bullet 2 // Balle perdue 2,Yes,2022-11-10,3500000,1:40,2100000
Rocky III,No,,3500000,1:40,2100000
Elektra (2005),No,,3400000,1:37,2100000
Inheritance // Spadek,Yes,2024-06-19,3400000,1:35,2100000
Menudas piezas,No,,3400000,1:35,2100000
Sniper: Assassin's End,No,,3400000,1:35,2100000
Street Flow // Banlieusards,Yes,2019-10-12,3400000,1:36,2100000
The Wrath of God // La ira de Dios,Yes,2022-06-15,3400000,1:38,2100000
Trouble // Strul,Yes,2024-10-03,3400000,1:38,2100000
Lonely Planet,Yes,2024-10-11,3300000,1:36,2100000
Lost on a Mountain in Maine,No,,3300000,1:35,2100000
Barbara - Becoming Shirin David,Yes,2026-03-13,3200000,1:31,2100000
Blood and Bone,No,,3200000,1:33,2100000
The Darjeeling Limited,No,,3200000,1:32,2100000
Friendzone,Yes,2021-09-29,3100000,1:29,2100000
Private Lesson // Özel Ders,Yes,2022-12-16,3100000,1:29,2100000
The Star (2017),No,,3000000,1:27,2100000
Chicken Run,No,,2900000,1:24,2100000
Secrets of the Neanderthals,Yes,2024-05-02,2800000,1:20,2100000
Ivy + Bean: The Ghost That Had to Go,Yes,2022-09-02,2100000,1:01,2100000
Animal // ऐनिमल,Yes,,6600000,3:21,2000000
The Hunger Games: The Ballad of Songbirds and Snakes,No,,5200000,2:37,2000000
Scent of a Woman (1992),No,,5100000,2:36,2000000
Lucky Baskhar,Yes,,4900000,2:28,2000000
The Big 4,Yes,2022-12-15,4800000,2:22,2000000
Bruised,Yes,2021-11-24,4500000,2:13,2000000
Never Say Never Again,No,,4500000,2:14,2000000
Parasite // 기생충,No,,4500000,2:12,2000000
The Red Sea Diving Resort,Yes,2019-07-31,4400000,2:10,2000000
Zom 100: Bucket List of the Dead // ゾン100〜ゾンビになるまでにしたい100のこと〜,Yes,2023-08-03,4300000,2:09,2000000
Don't Worry Darling,No,,4100000,2:03,2000000
P.S. I Love You,No,,4100000,2:06,2000000
The Pirates: The Last Royal Treasure // 해적: 도깨비 깃발,Yes,2022-03-02,4100000,2:06,2000000
Outlaw King,Yes,2018-11-09,4000000,2:02,2000000
Cold Pursuit,No,,3900000,1:58,2000000
From Russia with Love,No,,3900000,1:55,2000000
Our House // ข้างบ้าน,No,,3900000,2:00,2000000
Recurrence // Pipa,Yes,2022-07-27,3900000,1:56,2000000
The Chronicles of Riddick,No,,3900000,1:59,2000000
Tomorrow Never Dies,No,,3900000,2:00,2000000
Safe House (2012),No,,3800000,1:55,2000000
The 40-Year-Old Virgin,No,,3800000,1:56,2000000
The Bourne Ultimatum,No,,3800000,1:55,2000000
The Other Boleyn Girl (2008),No,,3800000,1:55,2000000
Until The Last of You // Sampai Titik Terakhirmu,No,,3800000,1:55,2000000
Goldfinger,No,,3700000,1:50,2000000
My Sister's Keeper,No,,3700000,1:49,2000000
No Pressure // Nic na siłę,Yes,2024-03-27,3700000,1:53,2000000
Ocean's 8,No,,3700000,1:50,2000000
Paddington in Peru,No,,3600000,1:46,2000000
The Dirt,Yes,2019-03-22,3600000,1:48,2000000
